Provinsi,Jahe (Kg),Laos/Lengkuas (Kg),Kencur (Kg),Kunyit (Kg),Lempuyang (Kg),Temulawak (Kg),Temuireng (Kg), 
SULAWESI SELATAN,8443663.0,2479629.0,140393.0,9443350.0,16454.0,63351.0,15198.0,2020
SULAWESI TENGGARA,731267.0,176817.0,35430.0,122212.0,5090.0,32753.0,18152.0,2020
GORONTALO,77077.0,1500.0,1420.0,35512.0,0.0,900.0,1000.0,2020
SULAWESI BARAT,924628.0,200142.0,27027.0,115345.0,1171.0,90276.0,0.0,2020
MALUKU,241001.0,206224.0,49390.0,329603.0,0.0,8.0,0.0,2020
MALUKU UTARA,5364071.0,502181.0,154213.0,1559400.0,0.0,0.0,0.0,2020
PAPUA BARAT,124907.0,15649.0,93784.0,118516.0,3635.0,8142.0,99.0,2020
PAPUA BARAT DAYA,,,,,,,,2020
PAPUA,80926.0,24489.0,46137.0,220080.0,30500.0,7167.0,4433.0,2020
PAPUA SELATAN,,,,,,,,2020
PAPUA TENGAH,,,,,,,,2020
PAPUA PEGUNUNGAN,,,,,,,,2020
INDONESIA,183517778.0,68658643.0,44823793.0,193582819.0,7145910.0,26742721.0,7201988.0,2020
ACEH,2327504.0,612026.0,271305.0,1246598.0,154.0,17418.0,,2021
SUMATERA UTARA,52245300.0,1099804.0,1345654.0,14114104.0,40779.0,180468.0,4412.0,2021
SUMATERA BARAT,13772833.0,3589529.0,1195254.0,4354848.0,2957.0,132735.0,3345.0,2021
RIAU,1327441.0,596679.0,1249820.0,1144591.0,105736.0,91721.0,18283.0,2021
JAMBI,2813725.0,712901.0,215273.0,719965.0,11618.0,33167.0,15095.0,2021
SUMATERA SELATAN,1868042.0,1183599.0,913895.0,1741904.0,20115.0,74418.0,28907.0,2021
BENGKULU,16173807.0,2979195.0,1730560.0,6313750.0,26284.0,19588.0,1383.0,2021
LAMPUNG,4085442.0,918785.0,5757467.0,942425.0,181999.0,243310.0,110332.0,2021
KEP BANGKA BELITUNG,721573.0,1011835.0,647319.0,846065.0,14480.0,23995.0,5000.0,2021
KEP RIAU,22960.0,72796.0,9202.0,26378.0,3248.0,1933.0,1717.0,2021
DKI JAKARTA,1632.0,1657.0,333.0,600.0,20.0,308.0,50.0,2021
JAWA BARAT,43833254.0,19385851.0,9791218.0,20047217.0,1197281.0,89692.0,21558.0,2021
JAWA TENGAH,39087220.0,13035571.0,15612280.0,20272747.0,958748.0,5512125.0,1134815.0,2021
DI YOGYAKARTA,5120703.0,1225027.0,1874687.0,3374060.0,585421.0,1485949.0,766561.0,2021
JAWA TIMUR,27595251.0,16303036.0,3573890.0,82988205.0,5096901.0,23111308.0,4163118.0,2021
BANTEN,1926635.0,2635336.0,1748971.0,667836.0,37451.0,24867.0,7329.0,2021
BALI,2903556.0,217370.0,665072.0,5228218.0,500.0,7098.0,4.0,2021
NUSA TENGGARA BARAT,932036.0,897798.0,59277.0,1401294.0,41435.0,51779.0,3175.0,2021
NUSA TENGGARA TIMUR,1625741.0,1013628.0,216059.0,1366902.0,8093.0,201860.0,69400.0,2021
KALIMANTAN BARAT,2772531.0,447500.0,335730.0,816783.0,14129.0,65835.0,21707.0,2021
KALIMANTAN TENGAH,592731.0,339305.0,110430.0,220943.0,31165.0,18012.0,5681.0,2021
